id,job,gender,hhi,age,region,survived
3015,law,male,124000,46,midwest,False
3016,engineer,male,100000,43,northeast,False
3017,law,male,101000,25,northeast,False
3018,engineer,male,94000,45,midwest,False
3019,engineer,female,81000,45,northeast,False
3020,unemployed,female,114000,36,northeast,False
3021,unemployed,female,110000,49,central,True
3022,unemployed,male,107000,46,southwest,True
3023,law,male,100000,44,southeast,False
3024,law,male,64000,22,northeast,False
3025,engineer,male,113000,48,southeast,False
3026,engineer,female,109000,36,southeast,True
3027,construction,male,85000,44,central,False
3028,unemployed,male,43000,23,northeast,False
3029,unemployed,female,83000,32,midwest,False
3030,law,male,103000,45,southeast,True
3031,engineer,female,82000,35,northwest,True
3032,engineer,male,92000,44,southeast,True
3033,unemployed,male,41000,34,central,False
3034,engineer,female,111000,36,midwest,True
3035,engineer,male,32000,38,southeast,True
3036,law,female,40000,43,midwest,False
3037,law,male,33000,29,central,False
3038,engineer,male,38000,22,northeast,True
3039,construction,female,56000,39,southwest,False
3040,engineer,male,117000,47,northwest,False
3041,law,female,38000,35,southwest,True
3042,health,female,41000,40,midwest,True
3043,health,male,50000,22,midwest,False
3044,unemployed,male,87000,46,southwest,False
3045,engineer,male,120000,28,southeast,True
3046,construction,male,45000,42,southwest,True
3047,health,male,76000,29,midwest,False
3048,engineer,male,98000,47,southwest,False
3049,unemployed,male,76000,50,southwest,True
3050,unemployed,male,68000,44,midwest,True
3051,construction,male,117000,30,central,False
3052,construction,female,66000,43,central,True
3053,health,female,104000,41,southwest,True
3054,engineer,male,76000,47,northeast,True
3055,law,female,65000,46,northwest,False
3056,engineer,female,95000,44,southeast,True
3057,law,male,87000,33,central,False
3058,construction,male,50000,38,northwest,False
3059,construction,female,107000,38,midwest,False
3060,engineer,male,85000,42,central,True
3061,construction,female,112000,32,southwest,False
3062,law,female,83000,48,northeast,True
3063,construction,female,122000,26,northeast,False
3064,construction,male,55000,36,northwest,False
3065,unemployed,female,49000,22,southwest,False
3066,unemployed,female,129000,42,northwest,False
3067,engineer,female,88000,30,midwest,True
3068,engineer,male,52000,40,northwest,False
3069,unemployed,male,93000,46,southwest,False
3070,construction,male,59000,27,northeast,True
3071,engineer,female,39000,35,northwest,True
3072,engineer,female,111000,22,northeast,False
3073,engineer,male,84000,49,northeast,False
3074,health,female,102000,38,northeast,True
3075,health,female,124000,41,northwest,True
3076,engineer,female,74000,41,central,True
3077,law,male,115000,40,southeast,False
3078,health,female,67000,30,northwest,False
3079,unemployed,female,62000,30,southeast,True
3080,construction,female,53000,44,northwest,True
3081,engineer,male,91000,30,northwest,False
3082,engineer,male,43000,47,northeast,False
3083,law,male,35000,33,northeast,False
3084,unemployed,male,82000,42,southeast,False
3085,law,female,109000,46,northeast,False
3086,unemployed,male,101000,25,northwest,False
3087,engineer,male,37000,48,northeast,True
3088,construction,male,38000,27,northwest,True
3089,law,female,47000,46,northwest,True
3090,law,female,105000,32,southeast,True
3091,health,male,114000,47,central,False
3092,unemployed,female,79000,27,central,False
3093,law,female,101000,48,northwest,False
3094,health,female,97000,36,midwest,False
3095,unemployed,male,65000,49,southwest,True
3096,construction,female,89000,36,southwest,False
3097,engineer,female,99000,34,southwest,False
3098,law,male,101000,44,midwest,True
3099,engineer,female,76000,24,northeast,False
3100,engineer,female,57000,35,northwest,False
3101,engineer,male,89000,36,northeast,True
3102,law,male,121000,46,southeast,True
3103,health,female,96000,36,northwest,False
3104,engineer,male,110000,35,midwest,True
3105,engineer,female,38000,30,southwest,False
3106,law,female,76000,47,southwest,False
3107,law,male,102000,33,southeast,False
3108,unemployed,male,60000,37,southeast,False
3109,construction,male,78000,46,northwest,True
3110,engineer,male,34000,42,central,False
3111,unemployed,female,101000,29,midwest,False
3112,construction,female,97000,28,northeast,True
3113,engineer,female,97000,49,southwest,False
3114,construction,female,96000,27,southeast,False
3115,law,male,59000,36,northeast,True
3116,law,male,80000,22,central,False
3117,engineer,female,66000,40,southwest,False
3118,law,male,95000,50,southwest,True
3119,health,male,44000,22,northeast,True
3120,construction,female,91000,34,southeast,False
3121,law,male,97000,25,southwest,False
3122,engineer,male,40000,33,northeast,True
3123,unemployed,female,79000,45,central,True
3124,health,female,87000,22,southeast,False
3125,unemployed,male,118000,25,northeast,False
3126,law,female,76000,21,southeast,False
3127,unemployed,male,33000,26,southeast,False
3128,engineer,female,94000,46,northwest,False
3129,construction,male,92000,36,southeast,False
3130,engineer,male,79000,28,southeast,True
3131,unemployed,male,88000,32,central,False
3132,health,male,115000,22,southeast,True
3133,construction,male,40000,29,northwest,True
3134,engineer,male,65000,42,central,False
3135,construction,female,79000,49,midwest,True
3136,construction,male,98000,22,central,False
3137,unemployed,female,62000,33,southeast,False
3138,health,male,96000,48,southeast,False
3139,unemployed,female,85000,38,southeast,False
3140,unemployed,male,101000,34,northeast,False
3141,construction,female,122000,38,southeast,True
3142,law,male,116000,33,northwest,False
3143,construction,female,121000,44,northeast,False
3144,health,female,83000,40,southwest,True
3145,construction,male,98000,24,southeast,True
3146,law,male,110000,33,southwest,True
3147,engineer,female,35000,25,midwest,False
3148,engineer,female,128000,32,northwest,False
3149,unemployed,male,83000,23,northeast,False
3150,construction,female,69000,24,southeast,False
3151,engineer,male,88000,50,northwest,True
3152,health,male,65000,38,northwest,True
3153,engineer,male,81000,27,southeast,True
3154,unemployed,female,62000,31,southeast,True
3155,construction,male,78000,41,southeast,True
3156,law,male,114000,43,central,True
3157,unemployed,female,69000,49,central,True
3158,unemployed,female,87000,43,southwest,False
3159,law,male,64000,40,northwest,False
3160,engineer,female,79000,36,northwest,False
3161,construction,male,50000,44,southwest,True
3162,engineer,male,42000,37,northeast,True
3163,construction,female,116000,33,southeast,False
3164,law,female,66000,30,central,False
3165,law,male,112000,44,midwest,False
3166,construction,male,47000,32,southeast,False
3167,law,male,51000,39,southeast,False
3168,law,female,117000,33,northeast,False
3169,construction,male,116000,25,midwest,False
3170,engineer,female,129000,30,midwest,False
3171,engineer,male,98000,28,northwest,False
3172,law,female,100000,39,northwest,True
3173,construction,female,60000,46,northeast,True
3174,unemployed,male,35000,40,midwest,False
3175,engineer,male,88000,32,southwest,True
3176,engineer,female,89000,34,midwest,False
3177,unemployed,female,106000,43,southeast,False
3178,engineer,male,47000,26,midwest,False
3179,construction,female,103000,46,southeast,False
3180,unemployed,male,113000,30,central,False
3181,unemployed,male,40000,27,central,False
3182,engineer,male,43000,28,southwest,False
3183,law,female,127000,39,southwest,True
3184,unemployed,male,107000,30,southwest,False
3185,engineer,female,117000,29,southwest,False
3186,unemployed,male,41000,38,northeast,False
3187,unemployed,female,91000,39,midwest,False
3188,engineer,male,50000,35,southwest,True
3189,engineer,female,103000,30,northwest,False
3190,construction,male,129000,41,southeast,True
3191,law,female,115000,49,northeast,False
3192,law,female,96000,42,northeast,True
3193,law,female,111000,31,northeast,False
3194,unemployed,male,46000,38,southwest,True
3195,engineer,female,96000,27,southeast,False
3196,engineer,female,84000,41,southwest,True
3197,health,female,113000,45,southeast,False
3198,law,female,96000,46,southwest,False
3199,construction,male,37000,33,northeast,False
3200,law,male,94000,46,southwest,False
3201,unemployed,female,103000,38,northwest,True
3202,unemployed,male,60000,34,southeast,True
3203,health,female,104000,22,midwest,False
3204,construction,female,37000,27,southwest,True
3205,unemployed,female,67000,40,northeast,True
3206,engineer,male,89000,43,southeast,True
3207,health,female,35000,47,northwest,False
3208,health,female,89000,45,central,True
3209,law,female,80000,21,midwest,False
3210,engineer,female,107000,31,southwest,False
3211,health,male,110000,26,central,False
3212,unemployed,male,81000,50,midwest,False
3213,law,male,57000,27,southwest,False
3214,engineer,male,37000,38,northwest,False
3215,unemployed,female,64000,35,southeast,False
3216,engineer,male,83000,32,northwest,True
3217,law,female,78000,37,southwest,False
3218,unemployed,female,66000,21,northeast,False
3219,health,female,53000,24,southeast,False
3220,unemployed,male,83000,36,central,False
3221,health,female,54000,36,midwest,True
3222,engineer,male,84000,35,central,True
3223,law,male,94000,47,southwest,False
3224,construction,male,37000,40,northeast,False
3225,engineer,female,80000,35,southwest,True
3226,unemployed,male,104000,48,northwest,True
3227,law,male,73000,45,northwest,True
3228,construction,male,52000,28,midwest,True
3229,unemployed,male,78000,46,midwest,False
3230,health,female,123000,49,central,True
3231,engineer,female,95000,27,midwest,False
3232,law,male,93000,44,northeast,True
3233,unemployed,male,114000,29,southwest,False
3234,engineer,female,37000,29,midwest,True
3235,construction,male,38000,27,southwest,False
3236,engineer,male,104000,28,northeast,True
3237,construction,male,92000,38,southwest,True
3238,law,male,55000,28,northeast,True
3239,engineer,male,94000,48,southeast,False
3240,unemployed,male,63000,47,northwest,False
3241,engineer,male,104000,47,northeast,False
3242,engineer,male,82000,48,central,True
3243,unemployed,male,35000,46,northeast,True
3244,construction,female,51000,46,midwest,False
3245,unemployed,male,98000,45,southeast,True
3246,unemployed,female,122000,36,northeast,True
3247,unemployed,female,96000,21,midwest,False
3248,law,male,60000,27,central,True
3249,construction,female,99000,38,northeast,False
3250,law,female,41000,31,northwest,True
3251,engineer,male,75000,26,northwest,False
3252,law,female,99000,42,northwest,False
3253,law,female,115000,40,northwest,True
3254,health,female,51000,36,central,False
3255,law,female,66000,26,midwest,False
3256,engineer,male,65000,31,southeast,False
3257,health,male,96000,38,southeast,False
3258,law,male,78000,43,midwest,True
3259,law,female,121000,46,southwest,False
3260,construction,female,121000,21,southeast,True
3261,construction,male,105000,29,midwest,True
3262,unemployed,female,34000,39,southeast,False
3263,engineer,female,75000,22,southwest,False
3264,law,female,39000,49,northwest,False
3265,engineer,male,89000,43,midwest,False
3266,law,female,58000,28,central,False
3267,unemployed,female,30000,31,midwest,False
3268,law,female,53000,49,central,False
3269,unemployed,female,79000,43,central,False
3270,law,male,77000,34,southwest,True
3271,unemployed,male,35000,22,midwest,True
3272,engineer,female,75000,21,midwest,False
3273,health,male,69000,49,central,False
3274,construction,male,117000,26,northwest,False
3275,engineer,male,57000,41,central,False
3276,engineer,male,54000,29,midwest,False
3277,construction,male,88000,41,central,False
3278,unemployed,male,54000,47,southeast,False
3279,engineer,male,85000,41,northwest,False
3280,unemployed,female,98000,28,southwest,False
3281,engineer,male,69000,38,northwest,True
3282,engineer,female,63000,21,midwest,False
3283,construction,male,74000,22,southwest,False
3284,construction,male,112000,39,southeast,True
3285,law,female,94000,48,southwest,True
3286,health,male,54000,30,midwest,True
3287,construction,female,95000,36,northeast,False
3288,law,female,43000,28,southwest,True
3289,construction,male,111000,46,northwest,False
3290,law,female,53000,40,central,True
3291,construction,female,116000,37,central,False
3292,construction,female,56000,44,central,True
3293,unemployed,male,120000,37,northeast,False
3294,construction,female,76000,40,central,False
3295,construction,male,87000,28,northeast,False
3296,unemployed,male,120000,23,northwest,False
3297,construction,female,68000,39,central,False
3298,unemployed,male,103000,26,northwest,True
3299,unemployed,female,80000,48,southwest,False
3300,unemployed,female,80000,21,central,False
3301,law,male,115000,45,northeast,False
3302,engineer,female,99000,26,midwest,False
3303,law,female,91000,29,southeast,False
3304,health,female,93000,22,northwest,True
3305,health,male,70000,29,northeast,False
3306,engineer,female,32000,31,northeast,False
3307,engineer,female,46000,49,southwest,False
3308,construction,male,97000,40,central,False
3309,construction,female,97000,21,northeast,False
3310,construction,male,53000,28,northeast,False
3311,construction,female,79000,32,central,False
3312,health,male,89000,46,northeast,False
3313,law,male,97000,26,midwest,False
3314,health,female,115000,25,central,True
3315,unemployed,male,103000,28,midwest,True
3316,engineer,female,53000,39,midwest,False
3317,health,male,125000,41,northwest,False
3318,construction,female,82000,43,central,False
3319,health,female,118000,41,southwest,True
3320,law,male,64000,46,northeast,True
3321,law,male,82000,28,southwest,False
3322,unemployed,female,44000,36,southeast,True
3323,unemployed,male,98000,32,southeast,False
3324,law,female,73000,25,southwest,False
3325,engineer,male,100000,22,northwest,True
3326,construction,female,102000,21,southwest,False
3327,engineer,female,115000,21,midwest,False
3328,engineer,male,40000,27,northeast,True
3329,law,female,98000,40,southeast,False
3330,engineer,male,46000,46,southeast,True
3331,unemployed,female,58000,21,central,True
3332,law,female,121000,45,southeast,True
3333,health,female,37000,41,northeast,False
3334,engineer,male,37000,27,southeast,False
3335,health,male,108000,32,central,True
3336,law,female,73000,43,northeast,True
3337,engineer,male,124000,23,northwest,False
3338,law,female,128000,27,midwest,False
3339,construction,male,77000,37,northwest,True
3340,construction,male,41000,21,midwest,False
3341,unemployed,male,94000,31,southeast,False
3342,unemployed,male,84000,41,midwest,True
3343,health,female,126000,35,midwest,False
3344,health,female,112000,43,midwest,False
3345,unemployed,female,41000,45,midwest,True
3346,construction,male,107000,39,midwest,False
3347,unemployed,female,123000,28,southeast,False
3348,construction,female,114000,43,northwest,False
3349,health,male,90000,46,northwest,False
3350,law,female,54000,24,northwest,False
3351,construction,male,82000,30,northeast,False
3352,construction,female,56000,27,central,False
3353,engineer,female,82000,24,northwest,False
3354,law,male,32000,21,central,False
3355,unemployed,male,57000,46,southwest,False
3356,law,female,36000,24,midwest,False
3357,engineer,male,79000,32,southwest,False
3358,unemployed,female,125000,23,northwest,False
3359,engineer,male,94000,20,northwest,False
3360,unemployed,female,36000,45,southeast,True
3361,construction,female,109000,23,northwest,False
3362,engineer,female,125000,38,southeast,True
3363,health,male,104000,32,southeast,False
3364,health,male,37000,39,central,False
3365,unemployed,female,39000,26,central,False
3366,engineer,female,126000,25,central,False
3367,construction,male,54000,44,central,True
3368,engineer,female,83000,28,central,False
3369,law,female,108000,23,midwest,False
3370,engineer,male,43000,43,central,False
3371,engineer,male,118000,47,northeast,True
3372,unemployed,female,99000,28,midwest,True
3373,engineer,male,88000,38,northwest,True
3374,unemployed,male,62000,37,northwest,False
3375,construction,female,57000,46,central,True
3376,engineer,male,98000,30,southeast,False
3377,engineer,male,87000,27,southeast,False
3378,engineer,male,72000,23,northeast,False
3379,unemployed,male,43000,32,northwest,True
3380,engineer,male,44000,39,northwest,False
3381,law,female,50000,42,southwest,False
3382,health,female,64000,30,southeast,True
3383,engineer,female,105000,23,southwest,False
3384,law,female,122000,48,southeast,True
3385,law,female,81000,47,central,False
3386,construction,female,118000,49,northwest,True
3387,construction,female,81000,28,midwest,False
3388,unemployed,female,118000,45,midwest,True
3389,law,male,47000,40,southeast,True
3390,law,female,113000,48,central,False
3391,health,male,117000,24,southeast,False
3392,law,male,98000,37,midwest,False
3393,law,male,129000,40,southeast,False
3394,construction,male,86000,23,southeast,True
3395,law,female,100000,24,midwest,True
3396,unemployed,female,79000,37,northwest,False
3397,unemployed,male,86000,50,northwest,True
3398,health,female,44000,38,northwest,True
3399,engineer,female,113000,44,midwest,False
3400,unemployed,male,46000,37,southeast,False
3401,engineer,female,127000,45,central,False
3402,construction,male,92000,32,northeast,False
3403,construction,female,48000,32,southwest,False
3404,law,male,124000,49,northwest,True
3405,engineer,male,71000,21,midwest,False
3406,engineer,female,31000,20,midwest,False
3407,engineer,female,121000,46,southwest,False
3408,unemployed,male,41000,29,southeast,False
3409,unemployed,female,48000,28,southwest,True
3410,construction,female,118000,40,midwest,False
3411,construction,female,59000,25,southwest,False
3412,law,female,84000,31,southeast,False
3413,unemployed,female,54000,24,southwest,False
3414,construction,female,53000,25,northwest,False
3415,law,male,109000,37,midwest,False
3416,engineer,female,87000,21,northeast,False
3417,unemployed,female,41000,28,midwest,True
3418,engineer,female,53000,38,southwest,False
3419,engineer,male,30000,35,southeast,False
3420,engineer,male,111000,40,southwest,True
3421,engineer,female,117000,21,northwest,True
3422,engineer,female,108000,21,southwest,False
3423,construction,male,104000,34,central,True
3424,law,female,49000,22,midwest,True
3425,unemployed,female,75000,29,northeast,True
3426,engineer,female,50000,47,southwest,False
3427,engineer,male,70000,44,central,True
3428,law,male,114000,46,southwest,False
3429,engineer,male,109000,38,central,False
3430,health,female,108000,43,southeast,False
3431,engineer,male,123000,26,northeast,False
3432,unemployed,female,114000,33,northwest,False
3433,unemployed,male,72000,25,southwest,False
3434,unemployed,male,110000,32,southwest,False
3435,engineer,female,57000,36,southeast,True
3436,law,male,53000,36,northeast,False
3437,law,male,80000,23,northeast,False
3438,engineer,female,122000,49,midwest,False
3439,unemployed,male,124000,22,midwest,False
3440,unemployed,male,56000,21,southwest,False
3441,engineer,male,107000,43,northeast,True
3442,law,male,89000,34,midwest,True
3443,law,female,58000,45,southeast,True
3444,engineer,female,81000,20,midwest,False
3445,unemployed,male,112000,40,midwest,True
3446,engineer,female,55000,31,southeast,False
3447,law,male,82000,41,northeast,False
3448,law,female,54000,28,southeast,False
3449,health,male,114000,38,midwest,False
3450,construction,female,63000,40,central,True
3451,law,female,86000,42,northwest,False
3452,engineer,male,37000,42,southwest,True
3453,health,female,85000,35,southwest,False
3454,health,male,109000,36,northwest,True
3455,law,female,77000,38,midwest,False
3456,health,female,63000,29,midwest,True
3457,construction,male,94000,30,southeast,False
3458,health,male,71000,22,central,False
3459,construction,male,101000,29,northwest,False
3460,engineer,female,57000,33,northwest,False
3461,health,male,52000,30,southwest,False
3462,unemployed,male,82000,45,southwest,True
3463,engineer,male,111000,36,southwest,False
3464,health,male,31000,31,southwest,True
3465,unemployed,female,94000,39,midwest,True
3466,engineer,male,126000,33,southeast,True
3467,unemployed,male,49000,49,northwest,True
3468,engineer,male,47000,44,central,False
3469,law,female,55000,27,midwest,False
3470,engineer,male,90000,48,southwest,True
3471,law,male,47000,44,northeast,False
3472,health,female,89000,30,northwest,True
3473,health,male,128000,27,midwest,True
3474,health,female,68000,34,central,False
3475,law,male,66000,24,southwest,False
3476,unemployed,female,47000,30,southeast,False
3477,law,female,81000,44,midwest,True
3478,unemployed,female,114000,49,southeast,True
3479,health,male,77000,40,midwest,False
3480,law,female,129000,26,southeast,True
3481,unemployed,male,32000,40,southeast,False
3482,unemployed,female,129000,33,northwest,True
3483,unemployed,female,122000,35,southeast,True
3484,construction,male,95000,46,southwest,False
3485,law,female,130000,42,northwest,False
3486,health,male,102000,29,southwest,False
3487,construction,male,113000,27,northeast,False
3488,engineer,male,42000,34,northeast,True
3489,construction,female,74000,27,central,False
3490,engineer,male,103000,29,southeast,True
3491,engineer,female,108000,25,midwest,False
3492,engineer,female,64000,41,northwest,False
3493,health,male,82000,46,midwest,False
3494,construction,female,39000,46,midwest,True
3495,engineer,female,61000,44,midwest,False
3496,construction,female,62000,48,northwest,False
3497,law,male,55000,30,midwest,False
3498,engineer,female,53000,40,central,False
3499,construction,male,64000,27,northeast,True
3500,engineer,female,66000,30,central,False
3501,unemployed,male,95000,47,northwest,True
3502,unemployed,female,52000,24,southwest,False
3503,unemployed,female,59000,49,central,True
3504,law,male,111000,22,northwest,False
3505,construction,female,80000,31,northeast,True
3506,law,male,112000,32,midwest,False
3507,engineer,male,40000,36,northeast,True
3508,engineer,male,95000,47,central,True
3509,unemployed,male,55000,33,central,False
3510,engineer,male,41000,48,midwest,False
3511,unemployed,female,57000,43,southeast,False
3512,unemployed,female,70000,37,southwest,True
3513,law,male,84000,48,northwest,False
3514,unemployed,male,116000,30,central,False
3515,unemployed,female,80000,49,northwest,False
3516,law,female,54000,30,midwest,True
3517,engineer,male,92000,27,southwest,True
3518,health,male,103000,35,central,False
3519,law,female,97000,41,northeast,True
3520,health,female,77000,37,southwest,True
3521,engineer,female,62000,37,southwest,False
3522,construction,female,73000,42,southeast,False
3523,engineer,male,58000,24,central,False
3524,unemployed,male,61000,49,northwest,False
3525,engineer,female,79000,29,northeast,False
3526,unemployed,female,35000,36,central,False
3527,law,male,35000,50,central,False
3528,engineer,female,88000,25,central,False
3529,construction,female,75000,41,southeast,False
3530,construction,female,111000,42,midwest,False
3531,construction,male,107000,21,southeast,False
3532,unemployed,male,121000,31,southwest,False
3533,engineer,male,32000,43,northwest,True
3534,construction,female,99000,44,central,False
3535,construction,male,64000,28,southeast,True
3536,unemployed,female,32000,30,central,False
3537,law,female,94000,30,central,False
3538,engineer,female,43000,30,southeast,True
3539,engineer,male,67000,36,northeast,False
3540,unemployed,male,103000,21,southeast,False
3541,construction,male,109000,26,southwest,True
3542,engineer,female,120000,48,northwest,True
3543,law,female,37000,46,northwest,False
3544,law,male,56000,23,northeast,False
3545,construction,female,45000,46,southeast,False
3546,health,female,37000,47,northeast,True
3547,construction,female,96000,41,southeast,True
3548,construction,female,129000,47,northwest,True
3549,engineer,male,105000,39,southeast,False
3550,engineer,female,32000,42,northwest,False
3551,unemployed,male,31000,38,central,False
3552,engineer,male,128000,44,northwest,True
3553,engineer,male,68000,41,southeast,False
3554,engineer,male,117000,48,southwest,False
3555,unemployed,female,87000,24,northwest,False
3556,law,male,32000,20,northwest,False
3557,engineer,female,49000,33,southeast,False
3558,engineer,female,75000,44,midwest,False
3559,engineer,male,42000,24,southeast,False
3560,unemployed,male,35000,32,southeast,True
3561,construction,female,45000,22,northeast,False
3562,engineer,male,77000,43,northeast,False
3563,construction,male,37000,43,southeast,True
3564,unemployed,female,52000,49,midwest,False
3565,engineer,female,118000,36,northeast,False
3566,engineer,female,84000,42,southwest,True
3567,engineer,male,99000,40,southwest,True
3568,unemployed,male,93000,28,midwest,False
3569,unemployed,female,109000,32,northeast,False
3570,unemployed,female,74000,29,central,True
3571,law,male,38000,29,northeast,False
3572,law,male,84000,21,central,True
3573,engineer,male,94000,38,central,False
3574,unemployed,female,129000,43,southeast,False
3575,engineer,male,121000,28,northwest,False
3576,law,male,75000,35,northeast,False
3577,health,male,114000,28,southwest,False
3578,unemployed,female,91000,33,northwest,True
3579,unemployed,female,86000,30,northwest,False
3580,unemployed,male,99000,30,southeast,False
3581,unemployed,male,123000,37,southeast,True
3582,engineer,male,93000,31,southwest,False
3583,construction,male,111000,21,southeast,False
3584,unemployed,male,79000,34,southeast,True
3585,health,female,90000,36,midwest,False
3586,law,male,128000,31,southeast,False
3587,unemployed,male,90000,37,northeast,False
3588,health,female,129000,32,northwest,False
3589,construction,female,52000,40,central,False
3590,construction,male,117000,22,northwest,False
3591,unemployed,male,52000,37,central,True
3592,engineer,male,129000,28,northwest,False
3593,law,female,113000,34,northwest,False
3594,law,male,73000,42,northeast,False
3595,construction,male,112000,46,southwest,False
3596,law,female,85000,44,southeast,False
3597,engineer,female,42000,22,central,False
3598,engineer,male,85000,29,central,False
3599,law,male,108000,34,midwest,False
3600,law,female,63000,39,southeast,False
3601,construction,female,30000,31,midwest,True
3602,engineer,female,125000,46,northwest,False
3603,engineer,female,126000,30,central,False
3604,law,male,113000,22,central,False
3605,engineer,male,59000,47,northwest,True
3606,law,male,73000,46,southwest,False
3607,engineer,male,70000,49,central,True
3608,engineer,male,57000,27,northeast,False
3609,construction,male,36000,35,northeast,True
3610,engineer,female,98000,32,midwest,False
3611,engineer,male,30000,37,central,True
3612,health,male,59000,44,northwest,False
3613,health,female,96000,43,southwest,False
3614,law,female,63000,46,southwest,False
3615,engineer,male,79000,33,northeast,False
3616,unemployed,male,84000,41,midwest,True
3617,law,female,114000,47,central,False
3618,engineer,male,92000,41,central,True
3619,unemployed,female,31000,26,northwest,True
3620,engineer,male,113000,22,northwest,False
3621,engineer,female,115000,24,northeast,False
3622,construction,male,86000,42,northeast,False
3623,engineer,female,46000,45,northwest,True
3624,construction,male,78000,35,southeast,False
3625,engineer,female,105000,22,northwest,False
3626,law,male,83000,22,midwest,False
3627,engineer,male,89000,27,northeast,False
3628,law,male,95000,40,southwest,True
3629,law,male,45000,42,northwest,False
3630,health,male,56000,50,central,False
3631,unemployed,male,37000,50,northwest,True
3632,engineer,male,113000,42,southwest,False
3633,construction,male,86000,26,central,True
3634,unemployed,female,114000,48,midwest,True
3635,engineer,male,53000,20,northeast,False
3636,construction,female,63000,24,northeast,False
3637,engineer,male,128000,30,midwest,False
3638,engineer,male,108000,25,northeast,False
3639,engineer,male,65000,31,northeast,False
3640,construction,female,57000,23,northwest,True
3641,unemployed,female,48000,42,midwest,True
3642,engineer,male,101000,34,northwest,False
3643,engineer,female,119000,40,midwest,False
3644,unemployed,female,37000,22,midwest,True
3645,law,male,112000,20,midwest,True
3646,engineer,male,89000,46,northeast,False
3647,unemployed,male,115000,24,central,False
3648,engineer,male,45000,39,midwest,False
3649,health,female,102000,39,northeast,True
3650,construction,female,54000,47,southwest,False
3651,engineer,male,79000,21,midwest,False
3652,engineer,female,107000,41,northwest,False
3653,construction,male,98000,40,southeast,False
3654,construction,male,44000,42,northeast,True
3655,construction,female,56000,46,northeast,True
3656,health,male,77000,27,northeast,False
3657,engineer,male,104000,39,midwest,True
3658,engineer,male,83000,25,northwest,False
3659,law,male,102000,35,southeast,True
3660,unemployed,female,126000,35,northwest,False
3661,health,male,120000,23,central,True
3662,law,female,61000,47,southwest,False
3663,engineer,female,125000,27,midwest,False
3664,engineer,female,64000,49,midwest,True
3665,construction,female,52000,26,southeast,False
3666,construction,female,106000,22,northeast,False
3667,unemployed,female,78000,46,northwest,True
3668,unemployed,male,41000,46,central,True
3669,construction,male,36000,38,northwest,False
3670,engineer,male,66000,34,central,True
3671,construction,female,96000,45,midwest,True
3672,unemployed,male,38000,33,southeast,True
3673,law,male,61000,45,southwest,False
3674,construction,female,122000,20,southwest,True
3675,health,male,54000,37,northwest,True
3676,engineer,male,66000,33,midwest,False
3677,construction,male,67000,30,central,False
3678,engineer,female,103000,37,midwest,False
3679,law,male,73000,25,midwest,False
3680,unemployed,female,41000,22,central,False
3681,construction,female,130000,50,midwest,False
3682,unemployed,female,118000,20,southwest,False
3683,law,female,117000,22,southeast,False
3684,engineer,female,83000,24,southwest,True
3685,engineer,male,76000,45,northeast,False
3686,engineer,male,45000,26,midwest,False
3687,unemployed,male,120000,33,southeast,False
3688,engineer,female,108000,29,southeast,False
3689,engineer,female,84000,23,southwest,False
3690,unemployed,female,75000,32,midwest,False
3691,construction,female,124000,41,northwest,True
3692,law,male,61000,23,southeast,True
3693,health,female,71000,31,central,False
3694,construction,female,116000,27,central,True
3695,unemployed,female,59000,22,central,True
3696,unemployed,female,89000,36,central,False
3697,construction,female,97000,38,southeast,True
3698,unemployed,male,46000,47,central,False
3699,law,female,85000,31,midwest,False
3700,unemployed,female,40000,45,southwest,False
3701,health,male,47000,48,central,False
3702,engineer,female,71000,34,midwest,True
3703,unemployed,female,61000,50,northeast,True
3704,health,female,64000,44,northwest,False
3705,construction,male,71000,39,northwest,True
3706,law,female,79000,37,southwest,False
3707,law,male,58000,23,southwest,True
3708,engineer,male,111000,42,southwest,True
3709,health,male,72000,45,central,True
3710,health,male,110000,50,southeast,True
3711,engineer,male,72000,30,northeast,False
3712,construction,male,101000,34,central,False
3713,health,male,31000,42,southwest,False
3714,construction,female,117000,31,midwest,False
3715,unemployed,female,39000,39,central,False
3716,engineer,female,70000,29,northeast,False
3717,law,female,65000,42,midwest,True
3718,construction,male,78000,27,northeast,False
3719,construction,male,80000,45,midwest,True
3720,engineer,female,101000,45,southeast,False
3721,construction,male,52000,29,northwest,True
3722,unemployed,female,98000,24,southeast,False
3723,unemployed,female,51000,30,southwest,True
3724,unemployed,female,115000,45,southeast,False
3725,law,male,78000,47,southwest,True
3726,unemployed,female,64000,25,southwest,True
3727,engineer,female,38000,43,northeast,True
3728,unemployed,female,78000,24,northeast,False
3729,law,female,93000,21,northeast,False
3730,engineer,female,127000,22,midwest,False
3731,engineer,male,106000,42,southeast,False
3732,construction,female,51000,48,northeast,True
3733,unemployed,male,48000,23,midwest,False
3734,engineer,male,98000,25,southwest,False
3735,unemployed,female,115000,35,northeast,True
3736,engineer,male,83000,47,southwest,True
3737,construction,female,105000,32,southeast,True
3738,engineer,female,35000,21,southwest,False
3739,construction,male,115000,44,southwest,False
3740,unemployed,female,98000,39,central,False
3741,engineer,female,110000,26,central,False
3742,law,female,36000,50,southwest,True
3743,engineer,male,93000,41,southeast,False
3744,law,female,101000,42,southwest,False
3745,construction,female,127000,24,southeast,False
